experiment	barseq
inv1	barseq_0021
inv2	barseq_0020
met10	barseq_0004andbarseq_0005
met11	barseq_0008
met12	barseq_0009
met13	barseq_0010
met14	barseq_0011
met15	barseq_0012
met1	barseq_0001
met2	barseq_0002
met3	barseq_0003
met4	barseq_0004
met5	barseq_0005
met6	barseq_0001
met7	barseq_0006
met8	barseq_0007
met9	barseq_0002
PbSTM18	barseq_0019
PbSTM19	barseq_0025
PbSTM21	barseq_0013
PbSTM22	barseq_0014
PbSTM23	barseq_0015
PbSTM24	barseq_0016
PbSTM25	barseq_0017
PbSTM26	barseq_0018
PbSTM27	barseq_0022
PbSTM28	barseq_0026
PbSTM29	barseq_0027
PbSTM30	barseq_0028
PbSTM31	barseq_0029
PbSTM32	barseq_0030
PbSTM33	barseq_0051
PbSTM34	barseq_0052
PbSTM35	barseq_0053
PbSTM36	barseq_0054
PbSTM37_Balbc	barseq_0024
PbSTM38	barseq_0031
PbSTM43	barseq_0032
PbSTM44	barseq_0033
PbSTM45	barseq_0034
PbSTM46	barseq_0035
PbSTM47	barseq_0036
PbSTM49	barseq_0037
PbSTM50	barseq_0038
PbSTM51	barseq_0039
PbSTM52	barseq_0040
PbSTM53	barseq_0041
PbSTM54	barseq_0042
PbSTM58	barseq_0046
PbSTM59	barseq_0047
PbSTM60	barseq_0048
PbSTM61	barseq_0049
PbSTM62	barseq_0050
