ID,GO
PBANKA_0824100,GO:0005506
PBANKA_1317500,GO:0051156
PBANKA_1017900,GO:0008964
PBANKA_1432700,GO:0003824
PBANKA_0834600,GO:0043234
PBANKA_1330700,GO:0005622
PBANKA_0511000,GO:0006464
PBANKA_1346200,GO:0008233
PBANKA_1109700,GO:0003723
PBANKA_1339700,GO:0006139
PBANKA_1037800,GO:0020009
PBANKA_1458300,GO:0003777
PBANKA_1317200,GO:0016021
PBANKA_0932900,GO:0009331
PBANKA_1345700,GO:0016021
PBANKA_0712600,GO:0005737
PBANKA_1463500,GO:0044237
PBANKA_1216500,GO:0003755
PBANKA_1464500,GO:0000027
PBANKA_0106400,GO:0005525
PBANKA_1212300,GO:0003743
PBANKA_0315900,GO:0001522
PBANKA_1454000,GO:0006265
PBANKA_1302800,GO:0005829
PBANKA_1223300,GO:0005622
PBANKA_1010300,GO:0016887
PBANKA_1219700,GO:0005739
PBANKA_1427700,GO:0043141
PBANKA_0835600,GO:0006468
PBANKA_1201700,GO:0006474
PBANKA_1306900,GO:0005524
PBANKA_1423800,GO:0005524
PBANKA_1036200,GO:0005634
PBANKA_1436200,GO:0020033
PBANKA_1220100,GO:0001682
PBANKA_0402000,GO:0018345
PBANKA_0110900,GO:0034227
PBANKA_0713100,GO:1990225
PBANKA_1206100,GO:0005852
PBANKA_1039500,GO:0008270
PBANKA_0813000,GO:0004869
PBANKA_1113800,GO:0043140
PBANKA_0608200,GO:0006461
PBANKA_1014000,GO:0006537
PBANKA_0302500,GO:0016020
PBANKA_1144500,GO:0005758
PBANKA_1454300,GO:0006886
PBANKA_1418900,GO:0016020
PBANKA_1225800,GO:0006457
PBANKA_1413400,GO:0005634
PBANKA_0515500,GO:0004864
PBANKA_1337800,GO:0005783
PBANKA_0210200,GO:0004815
PBANKA_1227400,GO:0016787
PBANKA_0834600,GO:0005874
PBANKA_1219300,GO:0005737
PBANKA_API00400,GO:0005840
PBANKA_1435100,GO:0006098
PBANKA_0934500,GO:0005737
PBANKA_1423700,GO:0008446
PBANKA_0716900,GO:0020008
PBANKA_1301400,GO:0006511
PBANKA_1110500,GO:0005737
PBANKA_0100600,GO:0030430
PBANKA_0809400,GO:0006308
PBANKA_1434800,GO:0016021
PBANKA_1318900,GO:0008168
PBANKA_0401500,GO:0008536
PBANKA_1302200,GO:0015031
PBANKA_1237200,GO:0005622
PBANKA_0101200,GO:0003924
PBANKA_1416900,GO:0000796
PBANKA_1111000,GO:0009982
PBANKA_0932900,GO:0004367
PBANKA_0605200,GO:0003899
PBANKA_0312600,GO:0016409
PBANKA_0502300,GO:0006396
PBANKA_1446700,GO:0000049
PBANKA_0940900,GO:0005524
PBANKA_1325300,GO:0000398
PBANKA_1114900,GO:0046907
PBANKA_1012900,GO:0016020
PBANKA_0939500,GO:0005524
PBANKA_0313100,GO:0016192
PBANKA_1329500,GO:0044409
PBANKA_0809800,GO:0001510
PBANKA_1325700,GO:0015035
PBANKA_1122700,GO:0005524
PBANKA_0707400,GO:0003676
PBANKA_0615000,GO:0005673
PBANKA_1144900,GO:0042765
PBANKA_1307300,GO:0005829
PBANKA_0936500,GO:0006271
PBANKA_0819200,GO:0005622
PBANKA_1319700,GO:0006355
PBANKA_0210900,GO:0008250
PBANKA_0205800,GO:0006468
PBANKA_1130800,GO:0042578
PBANKA_0714000,GO:0007131
PBANKA_0404600,GO:0001671
PBANKA_0620500,GO:0000287
PBANKA_0111800,GO:0030123
PBANKA_1137900,GO:0006275
PBANKA_1226000,GO:0001522
PBANKA_0110000,GO:0003735
PBANKA_1439200,GO:0005515
PBANKA_1455100,GO:0003689
PBANKA_0702700,GO:0016021
PBANKA_0615700,GO:0005858
PBANKA_1356200,GO:0032259
PBANKA_1446300,GO:0004386
PBANKA_1010900,GO:0004672
PBANKA_0509300,GO:0030246
PBANKA_1338600,GO:0005840
PBANKA_1015300,GO:0008173
PBANKA_0908500,GO:0005524
PBANKA_0940300,GO:0003676
PBANKA_1324000,GO:0005622
PBANKA_0913400,GO:0005634
PBANKA_1127000,GO:0016780
PBANKA_0712500,GO:0005869
PBANKA_1347800,GO:0051087
PBANKA_1223900,GO:0006470
PBANKA_0308700,GO:0003723
PBANKA_0107700,GO:0030001
PBANKA_0940800,GO:0005622
PBANKA_0315000,GO:0008173
PBANKA_0819700,GO:0008033
PBANKA_1459900,GO:0005622
PBANKA_1244600,GO:0009670
PBANKA_1460500,GO:0004672
PBANKA_1453400,GO:0006468
PBANKA_0511700,GO:0005524
PBANKA_0511700,GO:0000737
PBANKA_1039900,GO:0005737
PBANKA_1034100,GO:0004003
PBANKA_0719200,GO:0000932
PBANKA_1018400,GO:0005737
PBANKA_0923400,GO:0003735
PBANKA_0619700,GO:1990225
PBANKA_1422100,GO:0016020
PBANKA_1458600,GO:0005840
PBANKA_1110100,GO:0006265
PBANKA_0824700,GO:0004791
PBANKA_0312500,GO:0005634
PBANKA_1102700,GO:0005840
PBANKA_1324100,GO:0005622
PBANKA_1332000,GO:0005634
PBANKA_0920100,GO:0016272
PBANKA_1036800,GO:0005524
PBANKA_1103200,GO:0006468
PBANKA_0824700,GO:0055114
PBANKA_0923400,GO:0006412
PBANKA_0501400,GO:0020003
PBANKA_1353300,GO:0005524
