ID,GO
PF3D7_0307400,GO:0004252
PF3D7_1463700,GO:0004693
PF3D7_1373400,GO:0020035
PF3D7_1348100,GO:0007264
PF3D7_1343900,GO:0000398
PF3D7_1319100,GO:0005737
PF3D7_0900200,GO:0020013
PF3D7_0807500,GO:0019773
PF3D7_1427000,GO:0005524
PF3D7_0409400,GO:0051082
PF3D7_1303800,GO:0006974
PF3D7_1230400,GO:0009408
PF3D7_0927100,GO:0005737
PF3D7_0303000,GO:0016887
PF3D7_1407000,GO:0005044
PF3D7_0706500,GO:0005622
PF3D7_0630500,GO:0005730
PF3D7_1129000,GO:0004766
PF3D7_1122200,GO:0020011
PF3D7_1200100,GO:0009405
PF3D7_0407300,GO:0030528
PF3D7_1405400,GO:0003677
PF3D7_1020300,GO:0007018
PF3D7_0601900,GO:0008270
PF3D7_1132400,GO:0016021
PF3D7_0503800,GO:0005840
PF3D7_0922800,GO:0005622
PF3D7_0907900,GO:0020011
PF3D7_1128700,GO:0016255
PF3D7_1406800,GO:0016020
PF3D7_0526400,GO:0016020
PF3D7_1012600,GO:0016462
PF3D7_0902600,GO:0020011
PF3D7_1406500,GO:0005524
PF3D7_0532200,GO:0016020
PF3D7_1325100,GO:0004749
PF3D7_1106100,GO:0020011
PF3D7_1308000,GO:0008233
PF3D7_0527300,GO:0004177
PF3D7_0401200,GO:0020036
PF3D7_0316600,GO:0009986
PF3D7_1329300,GO:0051082
PF3D7_0907900,GO:0042586
PF3D7_1436300,GO:0005515
PF3D7_1017200,GO:0006631
PF3D7_1016100,GO:0016020
PF3D7_0602500,GO:0004663
PF3D7_0404300,GO:0016020
PF3D7_1428800,GO:0003677
PF3D7_0323600,GO:0005737
PF3D7_0113400,GO:0003723
PF3D7_0607700,GO:0007155
PF3D7_0516600,GO:0008135
PF3D7_1247500,GO:0006468
PF3D7_1243000,GO:0016020
PF3D7_1219000,GO:0003779
PF3D7_0628600,GO:0043968
PF3D7_0819600,GO:0016020
PF3D7_0927200,GO:0005634
PF3D7_1459800,GO:0016021
PF3D7_0712400,GO:0020002
PF3D7_0312800,GO:0022625
PF3D7_1211900,GO:0000166
PF3D7_0801900,GO:0055114
PF3D7_0416200,GO:0006364
PF3D7_1106000,GO:0006310
PF3D7_1009200,GO:0008270
PF3D7_0509500,GO:0006310
PF3D7_0815600,GO:0006413
PF3D7_1145000,GO:0006355
PF3D7_1107500,GO:0016272
PF3D7_0425800,GO:0016337
PF3D7_1454300,GO:0006468
PF3D7_0315500,GO:0006412
PF3D7_0201900,GO:0005515
PF3D7_1469900,GO:0005516
PF3D7_0510500,GO:0006265
PF3D7_0313300,GO:0016020
PF3D7_1248200,GO:0017070
PF3D7_1001100,GO:0000062
PF3D7_0207800,GO:0002377
PF3D7_0907400,GO:0070011
PF3D7_1007900,GO:0005737
PF3D7_0629800,GO:0051726
PF3D7_1320300,GO:0008270
PF3D7_1132800,GO:0005215
PF3D7_1032900,GO:0005524
PF3D7_1446300,GO:0005737
PF3D7_1103900,GO:0020037
PF3D7_0814200,GO:0003723
PF3D7_0209800,GO:0003723
PF3D7_0421100,GO:0020030
PF3D7_1237900,GO:0005524
PF3D7_1419100,GO:0030686
PF3D7_0632100,GO:0020036
PF3D7_1449900,GO:0016020
PF3D7_0317500,GO:0005524
PF3D7_0517700,GO:0005852
PF3D7_1232200,GO:0045454
PF3D7_0614400,GO:0005681
PF3D7_1018800,GO:0016020
PF3D7_0214800,GO:0005737
PF3D7_1040300,GO:0020035
PF3D7_1450100,GO:0006614
PF3D7_0937000,GO:0051082
PF3D7_1446600,GO:0005813
PF3D7_1246500,GO:0005506
PF3D7_0917000,GO:0005524
PF3D7_1307000,GO:0000175
PF3D7_0919600,GO:0018279
PF3D7_0407700,GO:0006350
PF3D7_1208200,GO:0031362
PF3D7_1132200,GO:0006457
PF3D7_0206900,GO:0016021
PF3D7_1440200,GO:0020011
PF3D7_0906700,GO:0016020
PF3D7_1416800,GO:0005739
PF3D7_1100200,GO:0016021
PF3D7_0820800,GO:0005622
PF3D7_0724000,GO:0004707
PF3D7_0603700,GO:0005739
PF3D7_1406500,GO:0003779
PF3D7_1304900,GO:0046983
PF3D7_1431400,GO:0005576
PF3D7_0607100,GO:0003677
PF3D7_1435600,GO:0005516
PF3D7_1239500,GO:0046983
PF3D7_0425900,GO:0020036
PF3D7_1147500,GO:0004660
PF3D7_0316500,GO:0051301
PF3D7_0217300,GO:0006886
PF3D7_1233000,GO:0005739
PF3D7_1203200,GO:0005634
PF3D7_0723800,GO:0005198
PF3D7_1210900,GO:0000030
PF3D7_0304400,GO:0005622
PF3D7_1013500,GO:0035556
PF3D7_0925100,GO:0016020
PF3D7_0629700,GO:0019904
PF3D7_0626100,GO:0016491
PF3D7_1446400,GO:0004739
PF3D7_1003400,GO:0016020
PF3D7_1443100,GO:0005634
PF3D7_1021600,GO:0009264
PF3D7_0823000,GO:0005524
PF3D7_1450100,GO:0005048
PF3D7_1423600,GO:0004683
PF3D7_1019500,GO:0005524
PF3D7_1134800,GO:0006890
PF3D7_1142100,GO:0005737
PF3D7_0504400,GO:0008026
PF3D7_0419900,GO:0048015
PF3D7_1137500,GO:0003735
PF3D7_1025500,GO:0016887
PF3D7_0930300,GO:0005515
PF3D7_0928100,GO:0005524
PF3D7_1342000,GO:0022627
PF3D7_0613800,GO:0003700
PF3D7_1417000,GO:0070258
PF3D7_1343300,GO:0007090
PF3D7_0317300,GO:0005524
PF3D7_0210700,GO:0031338
PF3D7_1476600,GO:0020011
PF3D7_1364300,GO:0005634
PF3D7_1354800,GO:0006508
PF3D7_0933900,GO:0006508
PF3D7_1230600,GO:0008168
PF3D7_1255100,GO:0020013
PF3D7_0900700,GO:0020033
PF3D7_0205500,GO:0006366
PF3D7_0708400,GO:0006950
PF3D7_0217300,GO:0030117
PF3D7_1476300,GO:0000166
PF3D7_1234200,GO:0003677
PF3D7_1202900,GO:0006355
PF3D7_1228800,GO:0005737
PF3D7_0409500,GO:0004316
PF3D7_0614800,GO:0051539
PF3D7_0724100,GO:0003774
PF3D7_0316800,GO:0003735
PF3D7_1039600,GO:0006457
PF3D7_1238700,GO:0016020
PF3D7_0831300,GO:0006817
PF3D7_1321200,GO:0008270
PF3D7_0528900,GO:0006412
PF3D7_0203100,GO:0005524
PF3D7_1349200,GO:0005524
PF3D7_1137200,GO:0044311
PF3D7_1438700,GO:0003896
PF3D7_1247100,GO:0016020
PF3D7_1124400,GO:0006397
PF3D7_0828200,GO:0020011
PF3D7_1000100,GO:0016021
PF3D7_1202900,GO:0005829
PF3D7_0308000,GO:0003677
PF3D7_0218100,GO:0016787
PF3D7_1450500,GO:0016020
PF3D7_1148900,GO:0020036
PF3D7_0712000,GO:0016021
PF3D7_1406600,GO:0020011
PF3D7_0501100,GO:0044164
PF3D7_1434600,GO:0006464
PF3D7_1108700,GO:0006457
PF3D7_1426200,GO:0006396
PF3D7_1468600,GO:0004012
PF3D7_1458800,GO:0003899
PF3D7_1300300,GO:0020030
PF3D7_1240600,GO:0009405
PF3D7_0729100,GO:0004037
PF3D7_1433300,GO:0016020
PF3D7_1348000,GO:0005856
PF3D7_1101300,GO:0020033
PF3D7_0612600,GO:0002098
PF3D7_0401400,GO:0020036
PF3D7_0309000,GO:0005515
PF3D7_1320900,GO:0006457
PF3D7_1439800,GO:0005789
PF3D7_1471200,GO:0055085
PF3D7_1207600,GO:0008033
PF3D7_0825800,GO:0005737
PF3D7_1028300,GO:0042254
PF3D7_0903400,GO:0005524
PF3D7_0506300,GO:0003677
PF3D7_0200200,GO:0020036
PF3D7_0623400,GO:0005737
PF3D7_1226700,GO:0031428
PF3D7_0903600,GO:0016459
PF3D7_0732400,GO:0020003
PF3D7_0204500,GO:0030170
PF3D7_1369000,GO:0005783
PF3D7_1427600,GO:0000287
PF3D7_1421800,GO:0006512
PF3D7_1337400,GO:0008270
PF3D7_0523500,GO:0030286
PF3D7_1218600,GO:0005737
PF3D7_1336600,GO:0005746
PF3D7_0304400,GO:0022625
PF3D7_1353600,GO:0016021
PF3D7_1316600,GO:0003824
PF3D7_1414300,GO:0005840
PF3D7_1479700,GO:0020033
PF3D7_1456500,GO:0007059
PF3D7_0504400,GO:0005524
PF3D7_0307900,GO:0016020
PF3D7_1246800,GO:0006614
PF3D7_1108500,GO:0005759
PF3D7_0209300,GO:0020011
PF3D7_1356200,GO:0006626
PF3D7_0716800,GO:0006446
PF3D7_0616700,GO:0005525
PF3D7_0314000,GO:0051879
PF3D7_1318900,GO:0005524
PF3D7_1451800,GO:0005319
PF3D7_1008100,GO:0008270
PF3D7_1209300,GO:0005634
PF3D7_1130100,GO:0022625
PF3D7_0937000,GO:0030430
PF3D7_1467400,GO:0005840
PF3D7_1223700,GO:0006879
PF3D7_0905300,GO:0003777
PF3D7_1316200,GO:0006886
PF3D7_1315200,GO:0005524
PF3D7_1112100,GO:0006468
PF3D7_1479900,GO:0020013
PF3D7_0733000,GO:0050839
PF3D7_0810600,GO:0005524
PF3D7_1406000,GO:0005737
PF3D7_0619100,GO:0006281
PF3D7_1469000,GO:0020011
PF3D7_1101300,GO:0020013
PF3D7_0219200,GO:0006412
PF3D7_0423000,GO:0016020
PF3D7_1416100,GO:0016020
PF3D7_1129200,GO:0006508
PF3D7_1129500,GO:0019104
PF3D7_1011800,GO:0003700
PF3D7_1338300,GO:0006414
PF3D7_1143900,GO:0052855
PF3D7_0914200,GO:0016746
PF3D7_1301100,GO:0005886
PF3D7_0618900,GO:0006506
PF3D7_0720900,GO:0005634
PF3D7_1329600,GO:0000166
PF3D7_1316900,GO:0035267
PF3D7_1204300,GO:0003743
PF3D7_0111800,GO:0005737
PF3D7_0507700,GO:0005783
PF3D7_0322900,GO:0005840
PF3D7_0223500,GO:0020033
PF3D7_1008400,GO:0005524
PF3D7_0924100,GO:0005581
PF3D7_0918000,GO:0005886
PF3D7_1123900,GO:0005634
PF3D7_0420100,GO:0005524
PF3D7_1253300,GO:0016020
PF3D7_1104000,GO:0000287
PF3D7_0217500,GO:0005886
PF3D7_1422800,GO:0005200
PF3D7_0603000,GO:0016020
PF3D7_1462900,GO:0005524
PF3D7_1017700,GO:0006413
PF3D7_0510500,GO:0042493
PF3D7_1144900,GO:0005525
PF3D7_0114200,GO:0020036
PF3D7_0826500,GO:0006511
PF3D7_1012600,GO:0003922
PF3D7_0624000,GO:0006096
PF3D7_1235700,GO:0015991
PF3D7_0803000,GO:0006457
PF3D7_1149000,GO:0020036
PF3D7_1122700,GO:0020011
PF3D7_0924000,GO:0006629
PF3D7_0207600,GO:0008234
PF3D7_1238500,GO:0003779
PF3D7_0903300,GO:0005622
PF3D7_1206900,GO:0016020
PF3D7_1441500,GO:0016020
PF3D7_1340700,GO:0005525
PF3D7_1311700,GO:0020037
PF3D7_0302600,GO:0006855
PF3D7_1367000,GO:0019005
PF3D7_1344900,GO:0005737
PF3D7_1027700,GO:0005509
PF3D7_1319200,GO:0050660
PF3D7_1352200,GO:0044822
PF3D7_1307600,GO:0020011
PF3D7_1117700,GO:0003924
PF3D7_0411100,GO:0005737
PF3D7_0425700,GO:0020035
PF3D7_0832300,GO:0005737
PF3D7_1417800,GO:0006270
PF3D7_0810100,GO:0005622
PF3D7_0301300,GO:0016787
PF3D7_0803200,GO:0005200
PF3D7_0915000,GO:0003960
PF3D7_0407200,GO:0004045
PF3D7_1237500,GO:0016020
PF3D7_0937000,GO:0006457
PF3D7_0632800,GO:0020013
PF3D7_0628600,GO:0035267
PF3D7_0411800,GO:0005737
PF3D7_1208100,GO:0016020
PF3D7_0904900,GO:0031410
PF3D7_0209500,GO:0006412
PF3D7_0622700,GO:0016020
PF3D7_0302200,GO:0020008
PF3D7_1369100,GO:0005737
PF3D7_1103900,GO:0005743
PF3D7_0503100,GO:0050515
PF3D7_1457200,GO:0005829
PF3D7_1218900,GO:0005737
PF3D7_0425300,GO:0005737
PF3D7_1135100,GO:0004722
PF3D7_0626300,GO:0004312
PF3D7_0416700,GO:0005739
PF3D7_0318600,GO:0006379
