gene	experiment	cloneid
PBANKA_010740	met1	PbGEM-006127
PBANKA_020230	met1	PbGEM-006938
PBANKA_020380	met1	PbGEM-007164
PBANKA_020640	met1	PbGEM-007536
PBANKA_021420	met1	PbGEM-008620
PBANKA_030230	met1	PbGEM-009046
PBANKA_030260	met1	PbGEM-009087
PBANKA_030370	met1	PbGEM-009249
PBANKA_030500	met1	PbGEM-009429
PBANKA_040230	met1	PbGEM-011169
PBANKA_040410	met1	PbGEM-011394
PBANKA_040480	met1	PbGEM-011485
PBANKA_040960	met1	PbGEM-012162
PBANKA_050400	met1	PbGEM-013997
PBANKA_051100	met1	PbGEM-015012
PBANKA_051150	met1	PbGEM-015092
PBANKA_051210	met1	PbGEM-015181
PBANKA_051360	met1	PbGEM-015379
PBANKA_051490	met1	PbGEM-015545
PBANKA_051500	met1	PbGEM-015561
PBANKA_051690	met1	PbGEM-015860
PBANKA_051820	met1	#N/A!
PBANKA_051880	met1	PbGEM-016150
PBANKA_061140	met1	PbGEM-018598
PBANKA_070650	met1	PbGEM-021205
PBANKA_071390	met1	PbGEM-022249
PBANKA_071490	met1	PbGEM-022409
PBANKA_071560	met1	PbGEM-022521
PBANKA_080820	met1	PbGEM-024572
PBANKA_082340	met1	PbGEM-026437
PBANKA_082650	met1	PbGEM-026807
PBANKA_082870	met1	PbGEM-027131
PBANKA_083260	met1	PbGEM-027695
PBANKA_083310	met1	PbGEM-027775
PBANKA_090660	met1	#N/A!
PBANKA_091170	met1	PbGEM-029891
PBANKA_091260	met1	PbGEM-030028
PBANKA_091980	met1	PbGEM-030936
PBANKA_091990	met1	PbGEM-030952
PBANKA_093130	met1	PbGEM-032467
PBANKA_093290	met1	PbGEM-032706
PBANKA_093390	met1	PbGEM-032866
PBANKA_101140	met1	PbGEM-035962
PBANKA_101530	met1	PbGEM-036523
PBANKA_101610	met1	PbGEM-036651
PBANKA_101680	met1	PbGEM-036749
PBANKA_102230	met1	PbGEM-037559
PBANKA_102590	met1	#N/A!
PBANKA_103000	met1	PbGEM-038613
PBANKA_103340	met1	PbGEM-039094
PBANKA_103440	met1	PbGEM-039254
PBANKA_103560	met1	PbGEM-039446
PBANKA_103780	met1	PbGEM-097822
PBANKA_110420	met1	PbGEM-122074
PBANKA_111180	met1	PbGEM-041695
PBANKA_111300	met1	PbGEM-041880
PBANKA_111330	met1	PbGEM-041928
PBANKA_112020	met1	PbGEM-042878
PBANKA_112190	met1	PbGEM-043101
PBANKA_112240	met1	PbGEM-043181
PBANKA_112280	met1	PbGEM-043245
PBANKA_112360	met1	PbGEM-043373
PBANKA_112420	met1	PbGEM-043455
PBANKA_112490	met1	PbGEM-043567
PBANKA_112510	met1	PbGEM-043599
PBANKA_112560	met1	PbGEM-043672
PBANKA_112620	met1	PbGEM-043765
PBANKA_113430	met1	PbGEM-044843
PBANKA_121100	met1	PbGEM-047958
PBANKA_121620	met1	PbGEM-048678
PBANKA_121730	met1	PbGEM-048854
PBANKA_121800	met1	PbGEM-048959
PBANKA_122010	met1	PbGEM-049260
PBANKA_122100	met1	PbGEM-049404
PBANKA_122580	met1	PbGEM-050127
PBANKA_123230	met1	PbGEM-051034
PBANKA_124200	met1	PbGEM-052290
PBANKA_130380	met1	PbGEM-053579
PBANKA_130890	met1	PbGEM-054353
PBANKA_131720	met1	PbGEM-055524
PBANKA_132810	met1	PbGEM-056941
PBANKA_132910	met1	PbGEM-057101
PBANKA_132950	met1	PbGEM-057165
PBANKA_133410	met1	PbGEM-057754
PBANKA_133560	met1	PbGEM-057987
PBANKA_133580	met1	PbGEM-058012
PBANKA_134040	met1	PbGEM-058661
PBANKA_134280	met1	PbGEM-058996
PBANKA_134620	met1	PbGEM-059503
PBANKA_135520	met1	PbGEM-060754
PBANKA_136190	met1	PbGEM-061754
PBANKA_140160	met1	PbGEM-062476
PBANKA_140340	met1	PbGEM-062743
PBANKA_140510	met1	PbGEM-062994
PBANKA_140610	met1	PbGEM-063126
PBANKA_141050	met1	PbGEM-063795
PBANKA_142370	met1	PbGEM-065557
PBANKA_142670	met1	PbGEM-065967
PBANKA_143420	met1	PbGEM-067050
PBANKA_143480	met1	PbGEM-067146
PBANKA_144260	met1	PbGEM-068335
PBANKA_144530	met1	PbGEM-068725
PBANKA_144890	met1	PbGEM-069252
PBANKA_145440	met1	PbGEM-070062
PBANKA_146060	met1	PbGEM-071005
PBANKA_010520	met11	PbGEM-227028
PBANKA_010770	met11	#N/A!
PBANKA_011250	met11	#N/A!
PBANKA_020290	met11	PbGEM-228217
PBANKA_020300	met11	PbGEM-264972
PBANKA_020370	met11	PbGEM-228308
PBANKA_020830	met11	PbGEM-229203
PBANKA_030560	met11	PbGEM-265580
PBANKA_030670	met11	#N/A!
PBANKA_030680	met11	PbGEM-228630
PBANKA_030690	met11	PbGEM-228650
PBANKA_040120	met11	#N/A!
PBANKA_040750	met11	PbGEM-229574
PBANKA_041050	met11	#N/A!
PBANKA_041350	met11	#N/A!
PBANKA_041470	met11	PbGEM-230718
PBANKA_051490	met11	PbGEM-015545
PBANKA_051500	met11	PbGEM-015561
PBANKA_051770	met11	PbGEM-264508
PBANKA_052020	met11	#N/A!
PBANKA_060240	met11	#N/A!
PBANKA_060440	met11	#N/A!
PBANKA_070100	met11	#N/A!
PBANKA_070440	met11	PbGEM-265276
PBANKA_071080	met11	PbGEM-234960
PBANKA_071470	met11	PbGEM-235725
PBANKA_071700	met11	PbGEM-236287
PBANKA_071740	met11	PbGEM-236341
PBANKA_080450	met11	PbGEM-283290
PBANKA_080600	met11	PbGEM-236306
PBANKA_080830	met11	PbGEM-236815
PBANKA_081180	met11	#N/A!
PBANKA_081200	met11	PbGEM-237627
PBANKA_081700	met11	#N/A!
PBANKA_082040	met11	#N/A!
PBANKA_082410	met11	PbGEM-259452
PBANKA_090870	met11	#N/A!
PBANKA_091030	met11	#N/A!
PBANKA_092090	met11	PbGEM-240365
PBANKA_092660	met11	#N/A!
PBANKA_092810	met11	#N/A!
PBANKA_092970	met11	PbGEM-238659
PBANKA_093690	met11	PbGEM-240525
PBANKA_093710	met11	PbGEM-264164
PBANKA_094280	met11	PbGEM-241999
PBANKA_100700	met11	PbGEM-265596
PBANKA_100720	met11	PbGEM-265308
PBANKA_101160	met11	PbGEM-262852
PBANKA_101480	met11	#N/A!
PBANKA_101810	met11	#N/A!
PBANKA_102060	met11	PbGEM-263524
PBANKA_102320	met11	PbGEM-263692
PBANKA_102920	met11	PbGEM-241423
PBANKA_102990	met11	PbGEM-241559
PBANKA_103440	met11	PbGEM-039254
PBANKA_103530	met11	PbGEM-242943
PBANKA_103780	met11	PbGEM-097822
PBANKA_110380	met11	PbGEM-245058
PBANKA_110420	met11	PbGEM-122074
PBANKA_110900	met11	#N/A!
PBANKA_111510	met11	#N/A!
PBANKA_111530	met11	#N/A!
PBANKA_112250	met11	PbGEM-246676
PBANKA_112390	met11	PbGEM-247136
PBANKA_112710	met11	#N/A!
PBANKA_112850	met11	PbGEM-248557
PBANKA_113010	met11	PbGEM-249203
PBANKA_113340	met11	PbGEM-245543
PBANKA_113410	met11	PbGEM-245808
PBANKA_114120	met11	PbGEM-264284
PBANKA_114250	met11	PbGEM-248091
PBANKA_114470	met11	#N/A!
PBANKA_120310	met11	#N/A!
PBANKA_121230	met11	PbGEM-246982
PBANKA_121820	met11	PbGEM-248755
PBANKA_121880	met11	#N/A!
PBANKA_121950	met11	#N/A!
PBANKA_122230	met11	PbGEM-250360
PBANKA_122740	met11	#N/A!
PBANKA_123740	met11	PbGEM-261516
PBANKA_123970	met11	PbGEM-261652
PBANKA_123980	met11	PbGEM-261660
PBANKA_124490	met11	#N/A!
PBANKA_130240	met11	PbGEM-262332
PBANKA_130460	met11	PbGEM-247832
PBANKA_130470	met11	#N/A!
PBANKA_131230	met11	PbGEM-250924
PBANKA_131600	met11	PbGEM-264692
PBANKA_132090	met11	PbGEM-253918
PBANKA_132170	met11	#N/A!
PBANKA_132330	met11	PbGEM-313077
PBANKA_132530	met11	PbGEM-255621
PBANKA_133460	met11	PbGEM-265364
PBANKA_133530	met11	PbGEM-250927
PBANKA_133740	met11	PbGEM-251821
PBANKA_133820	met11	#N/A!
PBANKA_134240	met11	PbGEM-253453
PBANKA_134560	met11	PbGEM-254716
PBANKA_134600	met11	PbGEM-264468
PBANKA_135330	met11	PbGEM-251495
PBANKA_135350	met11	PbGEM-251574
PBANKA_135410	met11	PbGEM-251811
PBANKA_135900	met11	PbGEM-253633
PBANKA_136480	met11	#N/A!
PBANKA_140160	met11	PbGEM-062476
PBANKA_140990	met11	PbGEM-253974
PBANKA_141180	met11	PbGEM-254469
PBANKA_142210	met11	#N/A!
PBANKA_142380	met11	#N/A!
PBANKA_142600	met11	PbGEM-253924
PBANKA_143040	met11	PbGEM-255566
PBANKA_143170	met11	PbGEM-322291
PBANKA_143920	met11	#N/A!
PBANKA_144380	met11	#N/A!
PBANKA_144680	met11	PbGEM-324411
PBANKA_144940	met11	PbGEM-257067
PBANKA_010130	met12	PbGEM-081231
PBANKA_020380	met12	PbGEM-007164
PBANKA_020970	met12	PbGEM-082477
PBANKA_040120	met12	#N/A!
PBANKA_040280	met12	PbGEM-228523
PBANKA_040960	met12	PbGEM-012162
PBANKA_050500	met12	PbGEM-085541
PBANKA_051360	met12	PbGEM-015379
PBANKA_051490	met12	PbGEM-015545
PBANKA_051500	met12	PbGEM-015561
PBANKA_052180	met12	PbGEM-233197
PBANKA_060710	met12	#N/A!
PBANKA_061040	met12	PbGEM-087402
PBANKA_061510	met12	PbGEM-122090
PBANKA_070620	met12	PbGEM-234172
