barseq,gene,cloneid
,,
,av refs,
barseq_0001,p230p-tag,PbGEM-226060
barseq_0001,PBANKA_051490,PbGEM-015545
barseq_0001,PBANKA_051500,PbGEM-015561
barseq_0001,PBANKA_103780,PbGEM-097822
barseq_0001,PBANKA_103440,PbGEM-039254
barseq_0001,PBANKA_110420,PbGEM-122074
barseq_0001,PBANKA_140160,PbGEM-062476
barseq_0001,PBANKA_010740,PbGEM-006127
barseq_0001,PBANKA_020230,PbGEM-006938
barseq_0001,PBANKA_020380,PbGEM-007164
barseq_0001,PBANKA_020640,PbGEM-007536
barseq_0001,PBANKA_021420,PbGEM-008620
barseq_0001,PBANKA_030230,PbGEM-009046
barseq_0001,PBANKA_030260,PbGEM-009087
barseq_0001,PBANKA_030370,PbGEM-009249
barseq_0001,PBANKA_030500,PbGEM-009429
barseq_0001,PBANKA_040230,PbGEM-011169
barseq_0001,PBANKA_040410,PbGEM-011394
barseq_0001,PBANKA_040480,PbGEM-011485
barseq_0001,PBANKA_040960,PbGEM-012162
barseq_0001,PBANKA_050400,PbGEM-013997
barseq_0001,PBANKA_051100,PbGEM-015012
barseq_0001,PBANKA_051150,PbGEM-015092
barseq_0001,PBANKA_051210,PbGEM-015181
barseq_0001,PBANKA_051360,PbGEM-015379
barseq_0001,PBANKA_051690,PbGEM-015860
barseq_0001,PBANKA_051820,
barseq_0001,PBANKA_051880,PbGEM-016150
barseq_0001,PBANKA_061140,PbGEM-018598
barseq_0001,PBANKA_070650,PbGEM-021205
barseq_0001,PBANKA_071390,PbGEM-022249
barseq_0001,PBANKA_071490,PbGEM-022409
barseq_0001,PBANKA_071560,PbGEM-022521
barseq_0001,PBANKA_080820,PbGEM-024572
barseq_0001,PBANKA_082340,PbGEM-026437
barseq_0001,PBANKA_082650,PbGEM-026807
barseq_0001,PBANKA_082870,PbGEM-027131
barseq_0001,PBANKA_083260,PbGEM-027695
barseq_0001,PBANKA_083310,PbGEM-027775
barseq_0001,PBANKA_090660,
barseq_0001,PBANKA_091170,PbGEM-029891
barseq_0001,PBANKA_091260,PbGEM-030028
barseq_0001,PBANKA_091980,PbGEM-030936
barseq_0001,PBANKA_091990,PbGEM-030952
barseq_0001,PBANKA_093130,PbGEM-032467
barseq_0001,PBANKA_093290,PbGEM-032706
barseq_0001,PBANKA_093390,PbGEM-032866
barseq_0001,PBANKA_101140,PbGEM-035962
barseq_0001,PBANKA_101530,PbGEM-036523
barseq_0001,PBANKA_101610,PbGEM-036651
barseq_0001,PBANKA_101680,PbGEM-036749
