Experiment,default
inv1,yes
inv2,yes
met1,yes
met10,yes
met11,yes
met12,yes
met13,yes
met14,yes
met15,yes
met2,yes
PbSTM18,yes
PbSTM19,yes
PbSTM37_Balbc,yes
PbSTM21,yes
PbSTM22,yes
PbSTM23,yes
PbSTM24,yes
PbSTM25,yes
PbSTM26,yes
PbSTM27,yes
PbSTM28,yes
PbSTM29,yes
met3,yes
PbSTM30,yes
PbSTM31,yes
PbSTM32,yes
PbSTM38,yes
met4,yes
PbSTM43,yes
PbSTM44,yes
PbSTM45,yes
PbSTM46,yes
met5,yes
met6,yes
met7,yes
met8,yes
met9,yes
PbSTM33,no
PbSTM34,yes
PbSTM35,yes
PbSTM36,yes
PbSTM39,yes
PbSTM40,yes
PbSTM47b,no
PbSTM49,yes
PbSTM50,yes
PbSTM51,yes
PbSTM52,yes
PbSTM53,yes
PbSTM54,yes
PbSTM56,no
PbSTM57,no
PbSTM58,yes
PbSTM59,yes
PbSTM60,yes
PbSTM61,yes
PbSTM62,yes
PbSTM63,no
PbSTM64,no
PbSTM66,yes
stm26,yes
stm27,yes
stm37_4r,yes
stm28_2r,yes
