gene,csome,start,end,strand
PBANKA_0000101,Not Assigned,2,1466,forward
PBANKA_0000201,Not Assigned,3142,3563,reverse
PBANKA_0000301,Not Assigned,5519,6295,reverse
PBANKA_0000401,Not Assigned,7677,8886,forward
PBANKA_0000600,Not Assigned,11314,12359,forward
PBANKA_0000701,Not Assigned,14967,16089,forward
PBANKA_0000801,Not Assigned,18408,19512,forward
PBANKA_0000901,Not Assigned,21684,23789,reverse
PBANKA_0001001,Not Assigned,27649,28863,forward
PBANKA_0001101,Not Assigned,31295,32438,forward
PBANKA_0001200,Not Assigned,3461,4899,reverse
PBANKA_0001201,Not Assigned,34779,35894,forward
PBANKA_0001301,Not Assigned,38189,39385,forward
PBANKA_0001401,Not Assigned,41897,43091,forward
PBANKA_0001501,Not Assigned,45928,47041,forward
PBANKA_0001601,Not Assigned,48795,50417,reverse
PBANKA_0006300,Not Assigned,53843,55016,forward
PBANKA_0006401,Not Assigned,733,1555,reverse
PBANKA_0006501,Not Assigned,3023,3845,reverse
PBANKA_0006600,Not Assigned,5313,6135,reverse
PBANKA_0006701,Not Assigned,7603,8428,reverse
PBANKA_0006800,Not Assigned,9893,10715,reverse
PBANKA_0006900,Not Assigned,12183,13005,reverse
PBANKA_0007000,Not Assigned,14473,15292,reverse
PBANKA_0007100,Not Assigned,16763,17585,reverse
PBANKA_0007200,Not Assigned,19053,19875,reverse
PBANKA_0007300,Not Assigned,21343,22165,reverse
PBANKA_0007401,Not Assigned,23498,24711,reverse
PBANKA_0007501,Not Assigned,28137,29759,forward
PBANKA_0007601,Not Assigned,31539,32626,reverse
PBANKA_0007701,Not Assigned,1120,2672,forward
PBANKA_0007801,Not Assigned,6017,6911,forward
PBANKA_0007901,Not Assigned,9729,10923,forward
PBANKA_0008001,Not Assigned,13760,14847,forward
PBANKA_0008101,Not Assigned,16627,18240,reverse
PBANKA_0008201,Not Assigned,21666,22876,forward
PBANKA_0008301,Not Assigned,403,888,forward
PBANKA_0008401,Not Assigned,2673,3454,forward
PBANKA_0008501,Not Assigned,4997,5774,forward
PBANKA_0008601,Not Assigned,7228,8044,forward
PBANKA_0008701,Not Assigned,9538,9984,forward
PBANKA_0008801,Not Assigned,11,697,forward
PBANKA_0008901,Not Assigned,2241,2994,forward
PBANKA_0009101,Not Assigned,4502,5286,forward
PBANKA_0100021,1,1098,2047,reverse
PBANKA_0100041,1,8896,14118,forward
PBANKA_0100061,1,21970,22548,reverse
PBANKA_0100081,1,24218,25286,reverse
