Old Gene ID,current_version_ID,gene_name,gene_product,PfID
PBANKA_000010,PBANKA_0837121,,BIR protein;PIR protein,#N/A
PBANKA_000030,PBANKA_1200081;PBANKA_1466161.1,,BIR protein;PIR protein;,#N/A
PBANKA_000040,PBANKA_0623700,,BIR protein;PIR protein,#N/A
PBANKA_000050,PBANKA_1465921,,BIR protein;PIR protein,#N/A
PBANKA_000060,PBANKA_0000600.1;PBANKA_0000600;PBANKA_14659210,,;BIR protein;PIR protein,#N/A
PBANKA_000070,PBANKA_1300031,,fam-b protein,#N/A
PBANKA_000080,PBANKA_1300041,,fam-b protein,#N/A
PBANKA_000090,PBANKA_0623600,,BIR protein;PIR protein,#N/A
PBANKA_000100,PBANKA_1465821,,BIR protein;PIR protein,#N/A
PBANKA_000110,PBANKA_1246961.1;PBANKA_1200041,,;fam-b protein,#N/A
PBANKA_000130,PBANKA_1300061.1;PBANKA_1246921;PBANKA_1466201.1,,;BIR protein;PIR protein,#N/A
PBANKA_000150,PBANKA_0700071,,BIR protein;PIR protein,#N/A
PBANKA_000160,PBANKA_0944041,Pb235,"reticulocyte binding protein, putative",#N/A
PBANKA_000170,PBANKA_0317001,,BIR protein;PIR protein,#N/A
PBANKA_000180,PBANKA_0317021,,fam-b protein,#N/A
PBANKA_000190,PBANKA_0600081,,BIR protein;PIR protein,#N/A
PBANKA_000200,PBANKA_0600086,,BIR protein;PIR protein,#N/A
PBANKA_000210,PBANKA_0837141,,BIR protein;PIR protein,#N/A
PBANKA_000220,PBANKA_0800021,Pb235,"reticulocyte binding protein, putative",#N/A
PBANKA_000230,PBANKA_1327000,,"DNA-directed RNA polymerase III subunit RPC4, putative",PF3D7_1463400
PBANKA_000235,PBANKA_1327021,,fam-a protein,#N/A
PBANKA_000240,PBANKA_0317181,,BIR protein;PIR protein,#N/A
PBANKA_000250,PBANKA_0316861,,BIR protein;PIR protein,#N/A
PBANKA_000260,PBANKA_0316900,,BIR protein;PIR protein,#N/A
PBANKA_000280,,,,#N/A
PBANKA_000290,PBANKA_1100400,,BIR protein;PIR protein,#N/A
PBANKA_000300,PBANKA_0623651,,,#N/A
PBANKA_000310,PBANKA_0837081,,BIR protein;PIR protein,#N/A
PBANKA_000320,PBANKA_0837161,,BIR protein;PIR protein,#N/A
PBANKA_000330,PBANKA_1466100,,BIR protein;PIR protein,#N/A
PBANKA_000340,PBANKA_1466121,,BIR protein;PIR protein,#N/A
PBANKA_000360,PBANKA_1040521;PBANKA_0837101.1;PBANKA_10405211,,fam-b protein;;BIR protein;PIR protein,#N/A
PBANKA_000370,PBANKA_0201051;PBANKA_07000211,,"conserved rodent malaria protein, unknown function",#N/A
PBANKA_000378,PBANKA_0600061,,fam-b protein,#N/A
PBANKA_000380,PBANKA_0600051,,BIR protein;PIR protein,#N/A
PBANKA_000390,PBANKA_0722921.1;PBANKA_0600041,,;BIR protein;PIR protein,#N/A
PBANKA_000400,PBANKA_0722941,,fam-b protein,#N/A
PBANKA_000410,PBANKA_0944081,,BIR protein;PIR protein,#N/A
PBANKA_000420,PBANKA_0944101,,BIR protein;PIR protein,#N/A
PBANKA_000430,PBANKA_10405411;PBANKA_0837001,,BIR protein;PIR protein,#N/A
PBANKA_000440,PBANKA_1200061,,BIR protein;PIR protein,#N/A
PBANKA_000450,PBANKA_1400091,Pb235,"reticulocyte binding protein, putative",#N/A
PBANKA_000460,,,,#N/A
PBANKA_000480,PBANKA_1000081,,BIR protein;PIR protein,#N/A
PBANKA_000490,PBANKA_0201051;PBANKA_07000211,,"conserved rodent malaria protein, unknown function",#N/A
PBANKA_000500,,,,#N/A
PBANKA_000510,PBANKA_0600351,Pb235,"reticulocyte binding protein, putative",#N/A
PBANKA_000520,PBANKA_0100061,,fam-c protein,#N/A
PBANKA_000530,PBANKA_0836981,,BIR protein;PIR protein,#N/A
PBANKA_000540,PBANKA_0836961,,BIR protein;PIR protein,#N/A
PBANKA_000550,PBANKA_0836941,,fam-b protein,#N/A
PBANKA_000570,,,,#N/A
PBANKA_000580,,,,#N/A
PBANKA_000600,PBANKA_0216061,,BIR protein;PIR protein,#N/A
PBANKA_000630,PBANKA_0006300;PBANKA_09440410,,BIR protein;PIR protein,#N/A
PBANKA_000640,PBANKA_0316900,,BIR protein;PIR protein,#N/A
PBANKA_000880,,,,#N/A
PBANKA_001030,PBANKA_0700031,,BIR protein;PIR protein,#N/A
PBANKA_010010,PBANKA_0100100,,fam-a protein,#N/A
PBANKA_010020,PBANKA_0100200,,"Plasmodium exported protein, unknown function",#N/A
PBANKA_010040,PBANKA_0216761.1;PBANKA_0100400,;Pb235,";reticulocyte binding protein, putative",#N/A
PBANKA_010050,PBANKA_0100500,,BIR protein;PIR protein,#N/A
PBANKA_010060,PBANKA_0100600,SMAC,schizont membrane associated cytoadherence protein,#N/A
PBANKA_010070,PBANKA_0100700,,"Plasmodium exported protein, unknown function",#N/A
PBANKA_010080,PBANKA_0100800,,"conserved Plasmodium protein, unknown function",PF3D7_0602000
PBANKA_010090,PBANKA_0100900,,"ATP-dependent RNA helicase, putative",PF3D7_0602100
PBANKA_010100,PBANKA_0101000,,"MYND finger protein, putative",PF3D7_0602200
PBANKA_010110,PBANKA_0101100,PALM,liver merozoite formation protein,PF3D7_0602300
PBANKA_010120,PBANKA_0101200,EF-G,"elongation factor G, putative",PF3D7_0602400
PBANKA_010130,PBANKA_0101300,,"geranylgeranyltransferase, putative",PF3D7_0602500
PBANKA_010140,PBANKA_0101400,,"conserved Plasmodium protein, unknown function",PF3D7_0602600
